s0,v0,a,t0,tf,opt,
19.3151,13.5676,-4,0,1,0,
19.3151,13.5676,-2.66667,0,1,0,
19.3151,13.5676,-2,0,1,0,
19.3151,13.5676,-1.33333,0,1,0,
19.3151,13.5676,-0.666667,0,1,0,
19.3151,13.5676,0,0,1,0,
19.3151,13.5676,0.333333,0,1,0,
19.3151,13.5676,0.666667,0,1,0,
19.3151,13.5676,1,0,1,0,
19.3151,13.5676,1.33333,0,1,0,
19.3151,13.5676,1.66667,0,1,0,
19.3151,13.5676,2,0,1,0,
30.8827,9.56757,-4,1,1,0,
30.8827,9.56757,-2.66667,1,1,0,
30.8827,9.56757,-2,1,1,0,
30.8827,9.56757,-1.33333,1,1,0,
30.8827,9.56757,-0.666667,1,1,0,
30.8827,9.56757,0,1,1,0,
31.5493,10.9009,-4,1,1,0,
30.8827,9.56757,0.666667,1,1,0,
31.5493,10.9009,-3.33333,1,1,0,
31.5493,10.9009,-2.66667,1,1,0,
30.8827,9.56757,1.33333,1,1,0,
31.8827,11.5676,-4,1,1,0,
31.5493,10.9009,-2,1,1,0,
31.8827,11.5676,-3.33333,1,1,0,
31.8827,11.5676,-2.66667,1,1,0,
31.8827,11.5676,-2,1,1,0,
31.8827,11.5676,-1.33333,1,1,0,
32.216,12.2342,-3.33333,1,1,0,
31.8827,11.5676,-0.666667,1,1,0,
32.216,12.2342,-2.66667,1,1,0,
31.8827,11.5676,0,1,1,0,
31.5493,10.9009,2,1,1,0,
32.5493,12.9009,-3.33333,1,1,0,
31.8827,11.5676,0.666667,1,1,0,
32.216,12.2342,-0.666667,1,1,0,
31.8827,11.5676,1.33333,1,1,0,
32.5493,12.9009,-2,1,1,0,
31.8827,11.5676,2,1,1,0,
32.8827,13.5676,-3.33333,1,1,0,
32.216,12.2342,0.666667,1,1,0,
32.216,12.2342,1,1,1,0,
32.216,12.2342,1.33333,1,1,0,
32.216,12.2342,1.66667,1,1,0,
32.216,12.2342,2,1,1,0,
32.5493,12.9009,0.333333,1,1,0,
32.5493,12.9009,0.666667,1,1,0,
