s0,v0,a,t0,tf,opt,
19.3093,11.6005,-4,0,1,0,
19.3093,11.6005,-2.66667,0,1,0,
19.3093,11.6005,-2,0,1,0,
19.3093,11.6005,-1.33333,0,1,0,
19.3093,11.6005,-0.666667,0,1,0,
19.3093,11.6005,0,0,1,0,
19.3093,11.6005,0.333333,0,1,0,
19.3093,11.6005,0.666667,0,1,0,
19.3093,11.6005,1,0,1,0,
19.3093,11.6005,1.33333,0,1,0,
19.3093,11.6005,1.66667,0,1,0,
19.3093,11.6005,2,0,1,0,
28.9098,7.6005,-4,1,1,0,
28.9098,7.6005,-2.66667,1,1,0,
28.9098,7.6005,-2,1,1,0,
28.9098,7.6005,-1.33333,1,1,0,
28.9098,7.6005,-0.666667,1,1,0,
28.9098,7.6005,0,1,1,0,
29.5765,8.93384,-4,1,1,0,
28.9098,7.6005,0.666667,1,1,0,
29.5765,8.93384,-3.33333,1,1,0,
29.5765,8.93384,-2.66667,1,1,0,
28.9098,7.6005,1.33333,1,1,0,
29.9098,9.6005,-4,1,1,0,
29.5765,8.93384,-2,1,1,0,
29.9098,9.6005,-3.33333,1,1,0,
29.9098,9.6005,-2.66667,1,1,0,
29.9098,9.6005,-2,1,1,0,
29.9098,9.6005,-1.33333,1,1,0,
30.2431,10.2672,-3.33333,1,1,0,
29.9098,9.6005,-0.666667,1,1,0,
30.2431,10.2672,-2.66667,1,1,0,
29.9098,9.6005,0,1,1,0,
29.5765,8.93384,2,1,1,0,
30.5765,10.9338,-3.33333,1,1,0,
29.9098,9.6005,0.666667,1,1,0,
30.2431,10.2672,-0.666667,1,1,0,
30.5765,10.9338,-2.66667,1,1,0,
30.5765,10.9338,-2,1,1,0,
30.9098,11.6005,-4,1,1,0,
30.9098,11.6005,-3.33333,1,1,0,
30.5765,10.9338,-1.33333,1,1,0,
30.2431,10.2672,1,1,1,0,
30.2431,10.2672,1.33333,1,1,0,
30.2431,10.2672,1.66667,1,1,0,
30.2431,10.2672,2,1,1,0,
30.5765,10.9338,0.333333,1,1,0,
30.5765,10.9338,0.666667,1,1,0,
31.0765,11.9338,-2,1,1,0,
31.2431,12.2672,-2.66667,1,1,0,
31.0765,11.9338,-1.33333,1,1,0,
31.2431,12.2672,-2,1,1,0,
30.9098,11.6005,0.333333,1,1,0,
