s0,v0,a,t0,tf,opt,
19.41,-1.94654e-09,0.333333,0,1,0,
19.41,-1.94654e-09,1,0,1,0,
19.41,-1.94654e-09,1.33333,0,1,0,
19.41,-1.94654e-09,1.66667,0,1,0,
19.41,-1.94654e-09,2,0,1,0,
19.5766,0.333333,0,1,1,0,
19.5766,0.333333,0.666667,1,1,0,
19.5766,0.333333,1,1,1,0,
19.5766,0.333333,1.33333,1,1,0,
19.91,1,-0.666667,1,1,0,
19.5766,0.333333,2,1,1,0,
19.91,1,0,1,1,0,
20.0766,1.33333,-0.666667,1,1,0,
19.91,1,0.666667,1,1,0,
19.91,1,1,1,1,0,
19.91,1,1.33333,1,1,0,
20.0766,1.33333,0.666667,1,1,0,
19.91,1,2,1,1,0,
20.41,2,-0.666667,1,1,0,
20.0766,1.33333,1.66667,1,1,0,
20.41,2,0,1,1,0,
20.41,2,0.333333,1,1,0,
20.41,2,0.666667,1,1,0,
20.41,2,1,1,1,0,
20.41,2,1.66667,1,1,0,
20.41,2,2,1,1,0,
19.91,0.333333,0,2,1,0,
19.91,0.333333,1,2,1,0,
20.5766,0.333333,0,2,1,0,
20.5766,0.333333,0.666667,2,1,0,
20.5766,1.66667,-1.33333,2,1,0,
21.0766,0.666667,0.333333,2,1,0,
20.91,1,0.666667,2,1,0,
20.41,1.33333,1.66667,2,1,0,
21.5766,2.33333,-2,2,1,0,
20.5766,1.66667,2,2,1,0,
21.41,2,0.333333,2,1,0,
21.2433,1.66667,2,2,1,0,
21.91,3,-1.33333,2,1,0,
22.2433,3,-1.33333,2,1,0,
22.91,3,-2,2,1,0,
21.91,3,0.666667,2,1,0,
23.2433,3.66667,-2.66667,2,1,0,
22.91,3,0,2,1,0,
22.91,3,0.666667,2,1,0,
22.91,3,1.33333,2,1,0,
23.2433,3.66667,0,2,1,0,
23.41,4,0,2,1,0,
23.2433,3.66667,1.33333,2,1,0,
23.41,4,1,2,1,0,
23.41,4,2,2,1,0,
20.2433,0.333333,0,3,1,0,
20.2433,0.333333,1,3,1,0,
20.91,0.333333,0,3,1,0,
20.91,0.333333,0.666667,3,1,0,
21.2433,1,-0.666667,3,1,0,
20.7433,1.33333,0.333333,3,1,0,
21.5766,0.333333,1.33333,3,1,0,
20.7433,1.33333,1.66667,3,1,0,
21.2433,1,2,3,1,0,
22.2433,1.66667,-0.666667,3,1,0,
22.91,0.333333,1.33333,3,1,0,
22.5766,3,-2.66667,3,1,0,
22.2433,1.66667,1.33333,3,1,0,
23.5766,2.33333,-2,3,1,0,
23.2433,3.66667,-3.33333,3,1,0,
24.2433,1.66667,-0.666667,3,1,0,
24.2433,1.66667,0,3,1,0,
24.91,1,0.666667,3,1,0,
23.91,3.66667,-2,3,1,0,
24.2433,1.66667,2,3,1,0,
23.91,3.66667,-0.666667,3,1,0,
25.91,3,-2.66667,3,1,0,
25.2433,3.66667,-2,3,1,0,
25.2433,3.66667,-1.33333,3,1,0,
23.91,3.66667,2,3,1,0,
26.91,3.66667,-3.33333,3,1,0,
25.2433,3.66667,0.666667,3,1,0,
26.91,3.66667,-2,3,1,0,
26.91,3.66667,-1.33333,3,1,0,
26.5766,4.33333,-1.33333,3,1,0,
26.91,3.66667,0,3,1,0,
26.91,3.66667,0.666667,3,1,0,
26.91,3.66667,1.33333,3,1,0,
27.41,4,0.333333,3,1,0,
27.91,5,-2,3,1,0,
27.5766,5,-0.666667,3,1,0,
27.5766,5,0,3,1,0,
27.5766,5,0.666667,3,1,0,
27.5766,5,1.33333,3,1,0,
27.5766,5,2,3,1,0,
28.41,6,-0.666667,3,1,0,
28.41,6,0.333333,3,1,0,
28.41,6,1,3,1,0,
28.41,6,1.66667,3,1,0,
20.5766,0.333333,0,4,1,0,
20.5766,0.333333,1,4,1,0,
21.2433,0.333333,0,4,1,0,
21.2433,0.333333,0.666667,4,1,0,
21.5766,1,-0.666667,4,1,0,
21.91,0.333333,0.666667,4,1,0,
21.0766,1.33333,1,4,1,0,
21.0766,1.33333,1.66667,4,1,0,
22.2433,1.66667,-0.666667,4,1,0,
22.5766,1.66667,-0.666667,4,1,0,
22.5766,1.66667,0,4,1,0,
22.2433,1.66667,1.33333,4,1,0,
22.2433,1.66667,2,4,1,0,
24.91,0.333333,0,4,1,0,
25.2433,0.333333,0,4,1,0,
23.91,1.66667,0.666667,4,1,0,
24.91,0.333333,2,4,1,0,
25.2433,0.333333,2,4,1,0,
25.5766,1,0.666667,4,1,0,
25.91,1.66667,-0.666667,4,1,0,
26.5766,1.66667,-1.33333,4,1,0,
26.2433,1.66667,0,4,1,0,
25.91,1.66667,1.33333,4,1,0,
26.5766,1.66667,0.666667,4,1,0,
26.2433,1.66667,2,4,1,0,
28.91,0.333333,0,4,1,0,
26.91,3.66667,-2,4,1,0,
26.91,3.66667,-1.33333,4,1,0,
27.91,1.66667,1.33333,4,1,0,
27.91,1.66667,2,4,1,0,
26.91,3.66667,0.666667,4,1,0,
28.2433,2.33333,1.33333,4,1,0,
29.91,2.33333,-1.33333,4,1,0,
30.2433,3,-2.66667,4,1,0,
28.5766,5.66667,-4,4,1,0,
29.91,2.33333,0.666667,4,1,0,
30.2433,3,-0.666667,4,1,0,
29.91,2.33333,2,4,1,0,
29.2433,4.33333,0,4,1,0,
28.5766,5.66667,-0.666667,4,1,0,
31.91,3,-1.33333,4,1,0,
31.91,3,-0.666667,4,1,0,
31.91,3,0,4,1,0,
31.5766,4.33333,-1.33333,4,1,0,
31.91,3,1.33333,4,1,0,
30.91,4.33333,1.33333,4,1,0,
32.2433,4.33333,-0.666667,4,1,0,
32.2433,4.33333,0,4,1,0,
31.2433,5,1.33333,4,1,0,
32.5766,5,-0.666667,4,1,0,
32.5766,5,0,4,1,0,
32.5766,5,0.666667,4,1,0,
32.5766,5,1.33333,4,1,0,
33.2433,6.33333,-2,4,1,0,
33.2433,6.33333,-1.33333,4,1,0,
34.5766,6.33333,-3.33333,4,1,0,
34.5766,6.33333,-2.66667,4,1,0,
34.91,7,-4,4,1,0,
34.5766,6.33333,-1.33333,4,1,0,
34.91,7,-2.66667,4,1,0,
35.2433,7.66667,-4,4,1,0,
35.2433,7.66667,-3.33333,4,1,0,
34.91,7,-0.666667,4,1,0,
34.5766,6.33333,2,4,1,0,
35.2433,7.66667,-1.33333,4,1,0,
35.2433,7.66667,-0.666667,4,1,0,
35.2433,7.66667,0,4,1,0,
20.91,0.333333,0.666667,5,1,0,
20.91,0.333333,1.33333,5,1,0,
21.5766,0.333333,1.33333,5,1,0,
21.5766,0.333333,2,5,1,0,
21.41,1.33333,1.66667,5,1,0,
21.91,1,2,5,1,0,
22.91,2.33333,-1.33333,5,1,0,
23.2433,3,-2.66667,5,1,0,
25.2433,0.333333,0,5,1,0,
25.5766,0.333333,0,5,1,0,
25.5766,0.333333,1.33333,5,1,0,
24.91,3.66667,-3.33333,5,1,0,
25.91,2.33333,-1.33333,5,1,0,
26.91,1.66667,-1.33333,5,1,0,
27.5766,0.333333,1.33333,5,1,0,
27.91,1.66667,-1.33333,5,1,0,
27.91,1.66667,0,5,1,0,
27.91,1.66667,0.666667,5,1,0,
29.5766,1.66667,-1.33333,5,1,0,
29.91,2.33333,-2,5,1,0,
29.91,2.33333,-1.33333,5,1,0,
31.91,0.333333,0,5,1,0,
28.91,3.66667,0,5,1,0,
30.91,4.33333,-4,5,1,0,
31.2433,3.66667,-2.66667,5,1,0,
32.5766,3,-2.66667,5,1,0,
31.2433,3.66667,-0.666667,5,1,0,
32.91,2.33333,0,5,1,0,
31.2433,3.66667,1.33333,5,1,0,
32.91,2.33333,2,5,1,0,
34.5766,2.33333,-0.666667,5,1,0,
33.5766,4.33333,-1.33333,5,1,0,
33.91,5,-2.66667,5,1,0,
33.91,5,-1.33333,5,1,0,
33.5766,4.33333,1.33333,5,1,0,
35.2433,3,2,5,1,0,
35.5766,4.33333,-0.666667,5,1,0,
35.5766,4.33333,0.666667,5,1,0,
35.5766,4.33333,1.33333,5,1,0,
37.2433,4.33333,-0.666667,5,1,0,
39.91,3,-2.66667,5,1,0,
37.5766,5,-0.666667,5,1,0,
39.91,3,-0.666667,5,1,0,
39.5766,3.66667,-0.666667,5,1,0,
39.5766,3.66667,0.333333,5,1,0,
36.91,6.33333,1.33333,5,1,0,
21.5766,1,0,6,1,0,
21.5766,1,0.666667,6,1,0,
21.5766,1,2,6,1,0,
21.91,1.66667,0.666667,6,1,0,
21.91,1.66667,2,6,1,0,
22.5766,1.66667,1.33333,6,1,0,
24.91,0.333333,0.666667,6,1,0,
25.5766,0.333333,0,6,1,0,
25.91,0.333333,0.666667,6,1,0,
23.5766,3,0.666667,6,1,0,
26.91,0.333333,0.666667,6,1,0,
26.91,0.333333,1.33333,6,1,0,
27.91,0.333333,0.666667,6,1,0,
27.91,0.333333,1.33333,6,1,0,
28.91,0.333333,0.666667,6,1,0,
28.91,0.333333,1.33333,6,1,0,
29.5766,1.66667,-1.33333,6,1,0,
30.5766,0.333333,0,6,1,0,
29.91,2.33333,-1.33333,6,1,0,
29.5766,1.66667,1.33333,6,1,0,
32.2433,0.333333,0,6,1,0,
29.91,2.33333,1.33333,6,1,0,
31.5766,1,2,6,1,0,
33.2433,0.333333,0.666667,6,1,0,
33.5766,1,0,6,1,0,
33.5766,1,0.666667,6,1,0,
33.5766,1,2,6,1,0,
34.5766,3,-2.66667,6,1,0,
34.5766,3,-2,6,1,0,
34.5766,3,-0.666667,6,1,0,
34.5766,3,0.666667,6,1,0,
34.5766,3,1.33333,6,1,0,
37.5766,2.33333,-2,6,1,0,
35.5766,5,-2.66667,6,1,0,
37.2433,3,-0.666667,6,1,0,
35.5766,5,-0.666667,6,1,0,
37.2433,3,1.33333,6,1,0,
35.5766,5,1.33333,6,1,0,
39.5766,3.66667,-2.66667,6,1,0,
38.5766,5.66667,-4,6,1,0,
38.5766,5.66667,-2.66667,6,1,0,
38.5766,5.66667,-1.33333,6,1,0,
38.5766,5.66667,-0.666667,6,1,0,
38.5766,5.66667,0.666667,6,1,0,
38.5766,5.66667,1.33333,6,1,0,
42.91,3,-0.666667,6,1,0,
40.5766,5.66667,-0.666667,6,1,0,
40.5766,5.66667,0.666667,6,1,0,
40.5766,5.66667,1.33333,6,1,0,
42.2433,4.33333,2,6,1,0,
43.41,4,1,6,1,0,
43.41,4,2,6,1,0,
43.91,7.66667,-3.33333,6,1,0,
43.91,7.66667,-2,6,1,0,
43.91,7.66667,-0.666667,6,1,0,
43.91,7.66667,0.333333,6,1,0,
