s0,v0,a,t0,tf,opt,
19.9724,12.24,-4,0,1,0,
19.9724,12.24,-2.66667,0,1,0,
19.9724,12.24,-2,0,1,0,
19.9724,12.24,-1.33333,0,1,0,
19.9724,12.24,-0.666667,0,1,0,
19.9724,12.24,0,0,1,0,
19.9724,12.24,0.333333,0,1,0,
19.9724,12.24,0.666667,0,1,0,
19.9724,12.24,1,0,1,0,
19.9724,12.24,1.33333,0,1,0,
19.9724,12.24,1.66667,0,1,0,
19.9724,12.24,2,0,1,0,
30.2124,8.23996,-4,1,1,0,
30.2124,8.23996,-2.66667,1,1,0,
30.2124,8.23996,-2,1,1,0,
30.2124,8.23996,-1.33333,1,1,0,
30.2124,8.23996,-0.666667,1,1,0,
30.2124,8.23996,0,1,1,0,
30.879,9.5733,-4,1,1,0,
30.2124,8.23996,0.666667,1,1,0,
30.879,9.5733,-3.33333,1,1,0,
30.879,9.5733,-2.66667,1,1,0,
30.2124,8.23996,1.33333,1,1,0,
31.2124,10.24,-4,1,1,0,
30.879,9.5733,-2,1,1,0,
31.2124,10.24,-3.33333,1,1,0,
31.2124,10.24,-2.66667,1,1,0,
31.2124,10.24,-2,1,1,0,
31.2124,10.24,-1.33333,1,1,0,
31.5457,10.9066,-3.33333,1,1,0,
31.2124,10.24,-0.666667,1,1,0,
31.5457,10.9066,-2.66667,1,1,0,
31.2124,10.24,0,1,1,0,
30.879,9.5733,2,1,1,0,
31.879,11.5733,-3.33333,1,1,0,
31.2124,10.24,0.666667,1,1,0,
31.5457,10.9066,-0.666667,1,1,0,
31.879,11.5733,-2.66667,1,1,0,
31.879,11.5733,-2,1,1,0,
32.2124,12.24,-4,1,1,0,
32.2124,12.24,-3.33333,1,1,0,
31.879,11.5733,-1.33333,1,1,0,
31.5457,10.9066,1,1,1,0,
31.5457,10.9066,1.33333,1,1,0,
31.5457,10.9066,1.66667,1,1,0,
31.5457,10.9066,2,1,1,0,
31.879,11.5733,0.333333,1,1,0,
31.879,11.5733,0.666667,1,1,0,
32.379,12.5733,-2,1,1,0,
32.5457,12.9066,-2.66667,1,1,0,
32.379,12.5733,-1.33333,1,1,0,
32.5457,12.9066,-2,1,1,0,
32.7124,13.24,-2.66667,1,1,0,
32.879,13.5733,-3.33333,1,1,0,
32.379,12.5733,0,1,1,0,
32.379,12.5733,0.333333,1,1,0,
32.2124,12.24,1.66667,1,1,0,
33.2124,14.24,-4,1,1,0,
32.379,12.5733,1.33333,1,1,0,
32.879,13.5733,-1.33333,1,1,0,
32.379,12.5733,2,1,1,0,
33.2124,14.24,-2.66667,1,1,0,
32.5457,12.9066,1.66667,1,1,0,
33.2124,14.24,-2,1,1,0,
33.0457,13.9066,-0.666667,1,1,0,
33.2124,14.24,-1.33333,1,1,0,
32.879,13.5733,1,1,1,0,
33.0457,13.9066,0.333333,1,1,0,
32.879,13.5733,1.66667,1,1,0,
32.879,13.5733,2,1,1,0,
33.0457,13.9066,1.33333,1,1,0,
33.0457,13.9066,1.66667,1,1,0,
33.0457,13.9066,2,1,1,0,
33.2124,14.24,1.66667,1,1,0,
33.2124,14.24,2,1,1,0,
36.4523,4.23996,-4,2,1,0,
36.4523,4.23996,-2.66667,2,1,0,
36.4523,4.23996,-2,2,1,0,
36.4523,4.23996,-1.33333,2,1,0,
36.4523,4.23996,-0.666667,2,1,0,
37.119,5.5733,-4,2,1,0,
36.4523,4.23996,0,2,1,0,
36.4523,4.23996,0.666667,2,1,0,
36.4523,4.23996,1.33333,2,1,0,
36.4523,4.23996,2,2,1,0,
38.4523,5.5733,-4,2,1,0,
37.4523,6.23996,-2.66667,2,1,0,
38.4523,5.5733,-2.66667,2,1,0,
38.7857,6.23996,-4,2,1,0,
37.7857,6.90663,-2.66667,2,1,0,
37.119,5.5733,2,2,1,0,
38.119,7.5733,-3.33333,2,1,0,
37.4523,6.23996,1.33333,2,1,0,
39.119,6.90663,-2.66667,2,1,0,
38.119,7.5733,-1.33333,2,1,0,
38.4523,8.23996,-2.66667,2,1,0,
39.119,6.90663,-0.666667,2,1,0,
38.119,7.5733,0.666667,2,1,0,
40.119,7.5733,-2.66667,2,1,0,
40.119,7.5733,-2,2,1,0,
40.119,7.5733,-1.33333,2,1,0,
40.119,7.5733,-0.666667,2,1,0,
39.119,9.5733,-2,2,1,0,
40.119,7.5733,0.666667,2,1,0,
40.119,7.5733,1.33333,2,1,0,
40.119,7.5733,2,2,1,0,
41.119,9.5733,-3.33333,2,1,0,
41.119,9.5733,-2.66667,2,1,0,
39.119,9.5733,2,2,1,0,
42.119,8.90663,-2,2,1,0,
41.4523,10.24,-2.66667,2,1,0,
41.119,9.5733,0,2,1,0,
42.119,10.24,-2.66667,2,1,0,
42.4523,8.23996,1.33333,2,1,0,
41.119,9.5733,2,2,1,0,
42.119,10.24,-0.666667,2,1,0,
44.119,10.24,-4,2,1,0,
42.119,10.24,0.666667,2,1,0,
42.119,10.24,1.33333,2,1,0,
41.7857,10.9066,1.33333,2,1,0,
44.119,10.24,-1.33333,2,1,0,
44.4523,10.9066,-2.66667,2,1,0,
43.119,12.24,-2,2,1,0,
43.7857,12.24,-2.66667,2,1,0,
44.4523,10.9066,-0.666667,2,1,0,
43.4523,12.9066,-2,2,1,0,
43.619,11.9066,0.333333,2,1,0,
45.119,12.9066,-4,2,1,0,
45.119,12.9066,-3.33333,2,1,0,
45.119,12.9066,-2.66667,2,1,0,
43.4523,12.9066,1.33333,2,1,0,
46.4523,12.24,-2.66667,2,1,0,
46.119,11.5733,0,2,1,0,
46.119,11.5733,0.666667,2,1,0,
46.7857,12.9066,-2.66667,2,1,0,
46.119,11.5733,2,2,1,0,
45.7857,12.24,2,2,1,0,
46.7857,12.9066,-0.666667,2,1,0,
46.4523,12.24,2,2,1,0,
46.619,13.24,0.333333,2,1,0,
46.619,13.24,1,2,1,0,
46.7857,12.9066,2,2,1,0,
47.119,14.24,-0.666667,2,1,0,
46.2857,14.5733,1,2,1,0,
47.4523,15.5733,-2.66667,2,1,0,
47.119,14.24,1.33333,2,1,0,
47.7857,15.5733,-2,2,1,0,
47.2857,15.24,0.333333,2,1,0,
47.7857,15.5733,-0.666667,2,1,0,
47.7857,15.5733,0,2,1,0,
47.619,15.24,1.66667,2,1,0,
47.9523,15.9066,0.333333,2,1,0,
47.9523,15.9066,1,2,1,0,
48.4523,16.24,0,2,1,0,
48.4523,16.24,0.666667,2,1,0,
48.4523,16.24,1.66667,2,1,0,
38.6923,0.239964,0.333333,3,1,0,
38.6923,0.239964,1,3,1,0,
38.6923,0.239964,1.66667,3,1,0,
