s0,v0,a,t0,tf,opt,
19.0458,12.1587,-4,0,1,0,
19.0458,12.1587,-2.66667,0,1,0,
19.0458,12.1587,-2,0,1,0,
19.0458,12.1587,-1.33333,0,1,0,
19.0458,12.1587,-0.666667,0,1,0,
19.0458,12.1587,0,0,1,0,
19.0458,12.1587,0.333333,0,1,0,
19.0458,12.1587,0.666667,0,1,0,
19.0458,12.1587,1,0,1,0,
19.0458,12.1587,1.33333,0,1,0,
19.0458,12.1587,1.66667,0,1,0,
19.0458,12.1587,2,0,1,0,
29.2045,8.1587,-4,1,1,0,
29.2045,8.1587,-2.66667,1,1,0,
29.2045,8.1587,-2,1,1,0,
29.2045,8.1587,-1.33333,1,1,0,
29.2045,8.1587,-0.666667,1,1,0,
29.2045,8.1587,0,1,1,0,
29.8712,9.49203,-4,1,1,0,
29.2045,8.1587,0.666667,1,1,0,
29.8712,9.49203,-3.33333,1,1,0,
29.8712,9.49203,-2.66667,1,1,0,
29.2045,8.1587,1.33333,1,1,0,
30.2045,10.1587,-4,1,1,0,
29.8712,9.49203,-2,1,1,0,
30.2045,10.1587,-3.33333,1,1,0,
30.2045,10.1587,-2.66667,1,1,0,
30.2045,10.1587,-2,1,1,0,
30.2045,10.1587,-1.33333,1,1,0,
30.5379,10.8254,-3.33333,1,1,0,
30.2045,10.1587,-0.666667,1,1,0,
30.5379,10.8254,-2.66667,1,1,0,
30.2045,10.1587,0,1,1,0,
29.8712,9.49203,2,1,1,0,
30.8712,11.492,-3.33333,1,1,0,
30.2045,10.1587,0.666667,1,1,0,
30.5379,10.8254,-0.666667,1,1,0,
30.8712,11.492,-2.66667,1,1,0,
30.8712,11.492,-2,1,1,0,
31.2045,12.1587,-4,1,1,0,
31.2045,12.1587,-3.33333,1,1,0,
30.8712,11.492,-1.33333,1,1,0,
30.5379,10.8254,1,1,1,0,
30.5379,10.8254,1.33333,1,1,0,
30.5379,10.8254,1.66667,1,1,0,
30.5379,10.8254,2,1,1,0,
30.8712,11.492,0.333333,1,1,0,
30.8712,11.492,0.666667,1,1,0,
31.3712,12.492,-2,1,1,0,
31.5379,12.8254,-2.66667,1,1,0,
31.3712,12.492,-1.33333,1,1,0,
31.5379,12.8254,-2,1,1,0,
31.7045,13.1587,-2.66667,1,1,0,
31.8712,13.492,-3.33333,1,1,0,
31.3712,12.492,0,1,1,0,
31.3712,12.492,0.333333,1,1,0,
31.2045,12.1587,1.66667,1,1,0,
31.5379,12.8254,0,1,1,0,
31.3712,12.492,1.33333,1,1,0,
31.8712,13.492,-1.33333,1,1,0,
31.3712,12.492,2,1,1,0,
31.7045,13.1587,0.333333,1,1,0,
