s0,v0,a,t0,tf,opt,
19.9716,8.24983,-4,0,1,0,
19.9716,8.24983,-2.66667,0,1,0,
19.9716,8.24983,-2,0,1,0,
19.9716,8.24983,-1.33333,0,1,0,
19.9716,8.24983,-0.666667,0,1,0,
19.9716,8.24983,0,0,1,0,
19.9716,8.24983,0.333333,0,1,0,
19.9716,8.24983,0.666667,0,1,0,
19.9716,8.24983,1,0,1,0,
19.9716,8.24983,1.33333,0,1,0,
19.9716,8.24983,1.66667,0,1,0,
19.9716,8.24983,2,0,1,0,
26.2214,4.24983,-4,1,1,0,
26.2214,4.24983,-2.66667,1,1,0,
26.2214,4.24983,-2,1,1,0,
26.2214,4.24983,-1.33333,1,1,0,
26.2214,4.24983,-0.666667,1,1,0,
26.2214,4.24983,0,1,1,0,
26.8881,5.58316,-4,1,1,0,
26.2214,4.24983,0.666667,1,1,0,
26.8881,5.58316,-3.33333,1,1,0,
26.8881,5.58316,-2.66667,1,1,0,
26.2214,4.24983,1.33333,1,1,0,
27.2214,6.24983,-4,1,1,0,
26.8881,5.58316,-2,1,1,0,
27.2214,6.24983,-3.33333,1,1,0,
27.2214,6.24983,-2.66667,1,1,0,
27.2214,6.24983,-2,1,1,0,
27.2214,6.24983,-1.33333,1,1,0,
27.5548,6.91649,-3.33333,1,1,0,
27.2214,6.24983,-0.666667,1,1,0,
27.5548,6.91649,-2.66667,1,1,0,
27.2214,6.24983,0,1,1,0,
26.8881,5.58316,2,1,1,0,
27.8881,7.58316,-3.33333,1,1,0,
27.2214,6.24983,0.666667,1,1,0,
27.5548,6.91649,-0.666667,1,1,0,
27.8881,7.58316,-2.66667,1,1,0,
27.8881,7.58316,-2,1,1,0,
28.2214,8.24983,-4,1,1,0,
28.2214,8.24983,-3.33333,1,1,0,
27.8881,7.58316,-1.33333,1,1,0,
27.5548,6.91649,1,1,1,0,
27.5548,6.91649,1.33333,1,1,0,
27.5548,6.91649,1.66667,1,1,0,
27.5548,6.91649,2,1,1,0,
27.8881,7.58316,0.333333,1,1,0,
27.8881,7.58316,0.666667,1,1,0,
28.3881,8.58316,-2,1,1,0,
28.5548,8.91649,-2.66667,1,1,0,
28.3881,8.58316,-1.33333,1,1,0,
28.5548,8.91649,-2,1,1,0,
28.7214,9.24983,-2.66667,1,1,0,
28.8881,9.58316,-3.33333,1,1,0,
28.3881,8.58316,0,1,1,0,
28.3881,8.58316,0.333333,1,1,0,
28.2214,8.24983,1.66667,1,1,0,
29.2214,10.2498,-4,1,1,0,
28.3881,8.58316,1.33333,1,1,0,
28.8881,9.58316,-1.33333,1,1,0,
28.3881,8.58316,2,1,1,0,
29.2214,10.2498,-2.66667,1,1,0,
28.5548,8.91649,1.66667,1,1,0,
