s0,v0,a,t0,tf,opt,
19.4174,6.31443,-4,0,1,0,
19.4174,6.31443,-2.66667,0,1,0,
19.4174,6.31443,-2,0,1,0,
19.4174,6.31443,-1.33333,0,1,0,
19.4174,6.31443,-0.666667,0,1,0,
19.4174,6.31443,0,0,1,0,
19.4174,6.31443,0.333333,0,1,0,
19.4174,6.31443,0.666667,0,1,0,
19.4174,6.31443,1,0,1,0,
19.4174,6.31443,1.33333,0,1,0,
19.4174,6.31443,1.66667,0,1,0,
19.4174,6.31443,2,0,1,0,
23.7318,2.31443,-2,1,1,0,
23.7318,2.31443,-0.666667,1,1,0,
23.7318,2.31443,0,1,1,0,
23.7318,2.31443,0.333333,1,1,0,
23.7318,2.31443,0.666667,1,1,0,
24.3985,3.64777,-3.33333,1,1,0,
23.7318,2.31443,1.33333,1,1,0,
24.3985,3.64777,-2.66667,1,1,0,
24.7318,4.31443,-4,1,1,0,
23.7318,2.31443,2,1,1,0,
24.3985,3.64777,-1.33333,1,1,0,
24.3985,3.64777,-0.666667,1,1,0,
24.7318,4.31443,-2,1,1,0,
25.0652,4.9811,-3.33333,1,1,0,
24.7318,4.31443,-1.33333,1,1,0,
24.7318,4.31443,-0.666667,1,1,0,
25.0652,4.9811,-2.66667,1,1,0,
25.0652,4.9811,-2,1,1,0,
24.7318,4.31443,0,1,1,0,
25.0652,4.9811,-1.33333,1,1,0,
24.7318,4.31443,0.666667,1,1,0,
24.7318,4.31443,1.33333,1,1,0,
25.0652,4.9811,-0.666667,1,1,0,
24.7318,4.31443,2,1,1,0,
25.0652,4.9811,0,1,1,0,
25.0652,4.9811,0.666667,1,1,0,
25.3985,5.64777,-1.33333,1,1,0,
25.8985,6.64777,-4,1,1,0,
25.3985,5.64777,-0.666667,1,1,0,
25.8985,6.64777,-3.33333,1,1,0,
25.3985,5.64777,0,1,1,0,
25.3985,5.64777,0.333333,1,1,0,
26.0652,6.9811,-3.33333,1,1,0,
25.8985,6.64777,-2,1,1,0,
25.3985,5.64777,1.33333,1,1,0,
25.8985,6.64777,-1.33333,1,1,0,
26.0652,6.9811,-2,1,1,0,
25.8985,6.64777,-0.666667,1,1,0,
26.3985,7.64777,-3.33333,1,1,0,
26.2318,7.31443,-2,1,1,0,
26.3985,7.64777,-2.66667,1,1,0,
25.7318,6.31443,1.66667,1,1,0,
26.0652,6.9811,0,1,1,0,
